facility_id,facility_name,facility_type,ward_name,lga_name,sen_district,state_name,ownership,longitude,latitude,longitude_clean,lon_format,latitude_clean,lat_format,coord_status,duplicate_of,mif_lon,mif_lat,med_officers,nurses_midwives,chews,lab_scientists,pharm_techs,personnel_score,sen_rank,_merge,canonical_lon,canonical_lat,geometry_source,geometry_note
HF00260,Uzoyosa Primary Health Centre,Primary Health Centre,Agbratu,Agbmita,Agbzatu North,Agbzatu State,Public,7.908017,7.950908,7.908017,plain,7.950908,plain,ok,,7.908017,7.950908,0.0,4.0,4.0,2.0,0.0,20.9,40.0,both,7.908017,7.950908,mif_consistent_with_register,
HF00805,Baungowa Primary Health Centre,Primary Health Centre,Uzoyodu,Tamwata-South,Uzojina Central,Uzojina State,Public,10.148729,8.435272,10.148729,plain,8.435272,plain,ok,,10.148729,8.435272,0.0,3.0,1.0,2.0,1.0,18.4,39.0,both,10.148729,8.435272,mif_consistent_with_register,
HF00465,Enungoshi Primary Health Centre,Primary Health Centre,Olulusa,Umumayi,Agbzatu South,Agbzatu State,Public,7.805461,9.003807,7.805461,plain,9.003807,plain,ok,,,,,,,,,,,left_only,7.805461,9.003807,register,
HF01015,Riykema Primary Health Centre,Primary Health Centre,Soktiba,Funkedu,Supwasa Central,Supwasa State,Public,10.373417,11.38859,10.373417,plain,11.38859,plain,ok,,10.373417,11.38859,0.0,7.0,6.0,2.0,3.0,39.8,40.0,both,10.373417,11.38859,mif_consistent_with_register,
HF01201,Kadnami Comprehensive Health Centre,Comprehensive Health Centre,Adeketu,Daibewo,Agbkeko Central,Agbkeko State,Private,9.177497,9.482001,9.177497,plain,9.482001,plain,ok,,9.177497,9.482001,6.0,3.0,11.0,4.0,3.0,75.3,6.0,both,9.177497,9.482001,mif_consistent_with_register,
HF00273,Supnuwa Primary Health Centre,Primary Health Centre,Katlano,Malmaba,Agbzatu North,Agbzatu State,Public,7.565845,7.982768,7.565845,plain,7.982768,plain,ok,,7.565845,7.982768,0.0,3.0,3.0,2.0,0.0,17.6,52.0,both,7.565845,7.982768,mif_consistent_with_register,
HF00627,Iroduna Primary Health Centre,Primary Health Centre,Hanradu,Daidefa,Tivbetu Central,Tivbetu State,Public,7.045256,11.00942,7.045256,plain,11.00942,plain,ok,,7.045256,11.00942,2.0,5.0,3.0,1.0,0.0,34.4,22.0,both,7.045256,11.00942,mif_consistent_with_register,
HF00670,Duttiko Health Post,Health Post,Zamwari,Hanjiko,Tivbetu South,Tivbetu State,Public,8.619,11.144178,8.619,plain,11.144178,plain,ok,,8.619,11.144178,1.0,2.0,2.0,1.0,1.0,22.0,45.0,both,8.619,11.144178,mif_consistent_with_register,
HF01243,Sokzayi Comprehensive Health Centre,Comprehensive Health Centre,Irowani,Hanjile,Agbkeko Central,Agbkeko State,Public,9.890179,9.661979,9.890179,plain,9.661979,plain,ok,,9.890179,9.661979,0.0,7.0,2.0,0.0,3.0,27.1,35.0,both,9.890179,9.661979,mif_consistent_with_register,
HF01067,Wurbesa Primary Health Centre,Primary Health Centre,Hantsishi,Okeyoru-South,Supwasa Central,Supwasa State,Public,9.875497,10.846114,9.875497,plain,10.846114,plain,ok,,9.875497,10.846114,3.0,8.0,10.0,0.0,1.0,57.4,14.0,both,9.875497,10.846114,mif_consistent_with_register,
