state_name,lga_name_raw,lga_name_norm,sen_district,n_wards,lga_code,remarks
Supwasa State,Adekeni,ADEKENI,Supwasa North,6,LGA001,
Tivbetu State,Adekowo,ADEKOWO,Tivbetu South,4,LGA002,Created 2016
Uzojina State,Adelaja-North,ADELAJANORTH,Uzojina Central,4,LGA003,Renamed 2019
Kukrima State,ADENAJA,ADENAJA,Kukrima South,7,LGA004,
Kukrima State,Agbjide,AGBJIDE,Kukrima Central,4,LGA005,
Uzojina State,Agbkotu-South,AGBKOTUSOUTH,Uzojina North,4,LGA006,
Tivbetu State,Agblasa,AGBLASA,Tivbetu Central,4,LGA007,
Agbzatu State,Agbmita,AGBMITA,Agbzatu North,8,LGA008,
Agbzatu State,Agbngoru,AGBNGORU,Agbzatu South,5,LGA009,
Kukrima State,Agbnumi,AGBNUMI,Kukrima Central,3,LGA010,Created 2016
Uzojina State,Agbridu-West,AGBRIDUWEST,Uzojina South,4,LGA011,
Tivbetu State,Agbtsiko,AGBTSIKO,Tivbetu North,5,LGA012,
Tivbetu State,Agbzawa-South,AGBZAWASOUTH,Tivbetu North,5,LGA013,Created 2016
Tivbetu State,Bandede-North,BANDEDENORTH,Tivbetu North,3,LGA014,Contested with adjoining district
Kukrima State,Banluta,BANLUTA,Kukrima South,4,LGA015,
Uzojina State,Banluwo,BANLUWO,Uzojina South,4,LGA016,
Agbzatu State,Banngono,BANNGONO,Agbzatu South,3,LGA017,
Supwasa State,Baumiru,BAUMIRU,Supwasa South,4,LGA018,
Agbzatu State,Baungoshi Local Govt Area,BAUNGOSHI,Agbzatu South,3,LGA019,
Supwasa State,Bautiru-West,BAUTIRUWEST,Supwasa Central,5,LGA020,Contested with adjoining district
Tivbetu State,Bauzani,BAUZANI,Tivbetu North,5,LGA021,
Agbkeko State,Daibama,DAIBAMA,Agbkeko Central,5,LGA022,
Agbkeko State,Daibewo,DAIBEWO,Agbkeko Central,5,LGA023,
Tivbetu State,Daidefa,DAIDEFA,Tivbetu Central,5,LGA024,
Agbzatu State,Daishako,DAISHAKO,Agbzatu South,5,LGA025,Contested with adjoining district
Uzojina State,Daishali-Central,DAISHALICENTRAL,Uzojina Central,6,LGA026,
Kukrima State,Daizade,DAIZADE,Kukrima South,5,LGA027,Contested with adjoining district
Uzojina State,Dutjiri,DUTJIRI,Uzojina North,4,LGA028,
Uzojina State,Dutkeni,DUTKENI,Uzojina Central,5,LGA029,
Tivbetu State,Dutwano,DUTWANO,Tivbetu Central,8,LGA030,Boundary under review
Agbzatu State,DUTZAMA,DUTZAMA,Agbzatu Central,4,LGA031,
