ward_code,ward_name,lga_code,total_population,population_under5,population_source,pct_pop_any_facility,pct_pop_scored_facility,pct_pop_adequate_facility,pop_any_facility,pop_scored_facility,pop_adequate_facility
W0021,Ekeluno,LGA071,6698,1014,Projected 2026 from 2006 census,0.603390255485191,0.6033902554851909,0.337876916505251,4042,4042,2263
W0029,Katzano,LGA071,12718,2321,Gridded population estimate 2024,0.39573915584457897,0.38873302809948956,0.3531799563613058,5033,4944,4492
W0030,Olumadu,LGA071,16521,2961,Projected 2026 from 2006 census,0.44529487755661035,0.32923729583013267,0.3291081938397008,7357,5439,5437
W0041,Dutkoko,LGA071,41424,6836,Projected 2026 from 2006 census,0.5630906300121711,0.5630906300121711,0.20387417409284755,23325,23325,8445
W0005,Oludeli,LGA061,6328,1113,Projected 2026 from 2006 census,0.39477173180416125,0.39477173180416125,0.2321642564251516,2498,2498,1469
W0006,Maltsisa,LGA061,57154,9109,Gridded population estimate 2024,0.5642478886342636,0.36572774268419656,0.3005685953545674,32249,20903,17179
W0007,Enunasa,LGA061,27475,4581,Projected 2026 from 2006 census,0.5938874664643975,0.44633316038126075,0.33683497937461243,16317,12263,9255
W0008,Shaluri,LGA104,7290,1106,Projected 2026 from 2006 census,0.0840371996353555,0.0840371996353555,0.002802736477210953,613,613,20
W0025,Dutrimi,LGA104,21898,3311,Projected 2026 from 2006 census,0.18235144813499962,0.18235144813499962,0.0,3993,3993,0
W0031,Loklude,LGA104,11375,1996,Projected 2026 from 2006 census,0.4572061460596182,0.4572061460596182,0.24307974431911197,5201,5201,2765
W0039,Funngoli,LGA104,24916,4111,Projected 2026 from 2006 census,0.4036045100846573,0.4036045100846573,0.4036045100846573,10056,10056,10056
W0040,Yelluna,LGA104,30616,5479,Projected 2026 from 2006 census,0.20439702656937153,0.20439702656937153,0.16890892993175866,6258,6258,5171
W0046,Banshali,LGA104,18654,3357,Gridded population estimate 2024,0.33520445162272255,0.33520445162272255,0.15186776934978957,6253,6253,2833
W0033,Baukeshi,LGA086,8576,1335,Projected 2026 from 2006 census,0.5746365231083687,0.5746365231083687,0.5498648361040757,4928,4928,4716
W0036,Baulako,LGA086,70555,12960,Projected 2026 from 2006 census,0.48166298446408523,0.48166298446408523,0.362577098889477,33984,33984,25582
W0050,Dutmidu,LGA086,17715,2644,Gridded population estimate 2024,0.4692578645995017,0.4692578645995017,0.3473691409901438,8313,8313,6154
W0053,Uzobele,LGA086,10511,1676,Gridded population estimate 2024,0.42804063583755647,0.33717047586827076,0.25287118764959,4499,3544,2658
W0062,Ibarija,LGA086,32661,5130,Projected 2026 from 2006 census,0.4463430011563007,0.42085783948080085,0.15286953416169072,14578,13746,4993
W0012,Hanmade,LGA051,26381,4620,Gridded population estimate 2024,0.23967837442850093,0.02285413984978512,0.02285413984978512,6323,603,603
W0015,Tamyowa,LGA051,23194,4157,Projected 2026 from 2006 census,0.787343247247863,0.7496176149947716,0.620440591938293,18262,17387,14390
W0016,Oluwasa,LGA051,41061,6504,Gridded population estimate 2024,0.7585430071956984,0.6973521449623803,0.34820146117689754,31147,28634,14298
W0018,Wurjimi,LGA051,19041,3508,Projected 2026 from 2006 census,0.4337702432730692,0.4337702432730692,0.17560649915618662,8259,8259,3344
W0022,Gwobedu,LGA051,27132,4123,Gridded population estimate 2024,0.3364430561104248,0.08414684597319497,0.05418403610432052,9128,2283,1470
W0028,Kuknuno,LGA051,19120,3286,Gridded population estimate 2024,0.7182278278353741,0.7182278278353741,0.519752829550007,13733,13733,9938
W0032,Nasnuri,LGA051,39662,6367,Gridded population estimate 2024,0.3486224903542619,0.3486224903542619,0.26684521017705587,13827,13827,10584
W0002,Wurshaba,LGA087,78192,14179,Projected 2026 from 2006 census,0.21761894311121988,0.21761894311121988,0.1415864744795556,17016,17016,11071
W0019,Aderita,LGA087,73368,12037,Projected 2026 from 2006 census,0.37548296688466115,0.3147217377468126,0.27720888356063883,27548,23091,20338
W0020,Joswaja,LGA087,10614,1831,Gridded population estimate 2024,0.30608968226331407,0.30608968226331407,0.06375815683830495,3249,3249,677
W0023,Sokdema,LGA087,17448,3131,Projected 2026 from 2006 census,0.5604018150562671,0.5604018150562671,0.5254244583938178,9778,9778,9168
W0024,Kadrani,LGA087,17342,3202,Gridded population estimate 2024,0.12648884262949076,0.12648884262949076,0.11363207158008627,2194,2194,1971
W0042,Supnami,LGA047,23375,4252,Projected 2026 from 2006 census,0.5369410032083685,0.363722159684469,0.28608791891144264,12551,8502,6687
W0054,Lokngoli,LGA047,9219,1440,Projected 2026 from 2006 census,0.2709988368081765,0.2709988368081765,0.0,2498,2498,0
W0064,Hantside,LGA047,10724,1649,Projected 2026 from 2006 census,0.2595163672079672,0.2595163672079672,0.2071869381383463,2783,2783,2222
W0067,Zambeba,LGA047,20011,2987,Gridded population estimate 2024,0.0514235996296159,0.0514235996296159,0.0514235996296159,1029,1029,1029
W0071,Fundeyi,LGA047,21672,3914,Projected 2026 from 2006 census,0.684171544176715,0.5776275371460218,0.38145052784342,14827,12518,8267
W0001,Ibasashi,LGA034,15636,2291,Projected 2026 from 2006 census,0.5939175170464005,0.5939175170464005,0.3227307387616641,9286,9286,5046
W0003,Josyole,LGA034,21092,3247,Gridded population estimate 2024,0.22404622975049826,0.21809662357122983,0.0860637472657233,4726,4600,1815
W0004,Lokdushi,LGA034,4841,863,Projected 2026 from 2006 census,0.26503866414570637,0.26503866414570637,0.09813507868667,1283,1283,475
W0010,Sokjitu,LGA034,15308,2374,Projected 2026 from 2006 census,0.6964439041573118,0.6964439041573118,0.3957970995880448,10661,10661,6059
W0011,Lokngodu,LGA034,36966,6524,Gridded population estimate 2024,0.3319043143646478,0.3319043143646478,0.0867052801656155,12269,12269,3205
W0014,Maljiba,LGA034,29801,4884,Projected 2026 from 2006 census,0.0973139604062602,0.0973139604062602,0.0973139604062602,2900,2900,2900
W0151,Ekerini,LGA109,30526,4939,Projected 2026 from 2006 census,0.4231873761109162,0.2037652100508925,0.0,12918,6220,0
W0169,Adelawa,LGA109,13033,1973,Projected 2026 from 2006 census,0.4236062357235129,0.4236062357235129,0.0,5521,5521,0
W0177,Hanlana,LGA109,45484,7265,Gridded population estimate 2024,0.8873940993491332,0.6621960957530661,0.04136026562749807,40362,30119,1881
W0180,Irorawa,LGA109,39550,6156,Projected 2026 from 2006 census,0.14083737246503572,0.14083737246503572,0.05847935024718199,5570,5570,2313
W0181,Baumashi,LGA109,27793,5029,Projected 2026 from 2006 census,0.2467850192423573,0.14196279537683257,0.0,6859,3946,0
W0193,Gwosani,LGA109,21803,3614,Projected 2026 from 2006 census,0.558317287673887,0.558317287673887,0.13055412054962026,12173,12173,2846
W0196,Naslama,LGA109,12607,2091,Projected 2026 from 2006 census,0.6742384747105515,0.6742384747105515,0.36513001209026824,8500,8500,4603
W0198,Banluma,LGA109,24412,3832,Projected 2026 from 2006 census,0.771196532015253,0.771196532015253,0.23460033879434466,18826,18826,5727
W0069,Katzale,LGA063,18519,3389,Projected 2026 from 2006 census,0.3838938205657074,0.3838938205657074,0.24704270441058354,7109,7109,4575
W0112,Ekebako,LGA063,29711,4602,Projected 2026 from 2006 census,0.3850626523126965,0.3850626523126965,0.0,11441,11441,0
W0113,Supzaja,LGA063,64114,10094,Projected 2026 from 2006 census,0.46890038877444035,0.46890038877444035,0.30696835357587965,30063,30063,19681
W0126,Banmashi,LGA063,14494,2109,Projected 2026 from 2006 census,0.6253351077651842,0.6253351077651842,0.0,9064,9064,0
W0117,Eketsino,LGA010,13476,2477,Projected 2026 from 2006 census,0.18008223785404653,0.18008223785404653,0.01941434465074547,2427,2427,262
W0143,Okenami,LGA010,33167,4947,Gridded population estimate 2024,0.20709361596921344,0.20709361596921344,0.0230728243886983,6869,6869,765
W0150,Wurshama,LGA010,32530,4857,Projected 2026 from 2006 census,0.2307956845580432,0.23029631319428476,0.0,7508,7492,0
W0066,Zamyoru,LGA005,38033,6227,Gridded population estimate 2024,0.47934397898658837,0.4013685295135872,0.2201953856852743,18231,15265,8375
W0078,Kadjisa,LGA005,4483,819,Projected 2026 from 2006 census,0.4769962680964281,0.4241090527031047,0.0,2138,1901,0
W0084,Wurdesa,LGA005,47436,8228,Projected 2026 from 2006 census,0.8134471566148169,0.8134471566148169,0.4241524211695615,38587,38587,20120
W0088,Kadjina,LGA005,37994,5844,Gridded population estimate 2024,0.4368262012943579,0.4368262012943579,0.25589184061696496,16597,16597,9722
