ward_code,ward_name,lga_code,total_population,population_under5,population_source,pct_pop_any_facility,pct_pop_scored_facility,pct_pop_adequate_facility,pop_any_facility,pop_scored_facility,pop_adequate_facility,lga_name,sen_district,state_name,adequate_share,unscored_share,access_category
W0021,Ekeluno,LGA071,6698,1014,Projected 2026 from 2006 census,0.603390255485191,0.6033902554851909,0.337876916505251,4042,4042,2263,Maltsimi,Kukrima North,Kukrima State,0.5599641582437579,1.839975065113402e-16,facility_nearby_mixed_adequacy
W0029,Katzano,LGA071,12718,2321,Gridded population estimate 2024,0.3957391558445789,0.3887330280994895,0.3531799563613058,5033,4944,4492,Maltsimi,Kukrima North,Kukrima State,0.8924564353697978,0.01770390329492937,facility_nearby_adequately_staffed
W0030,Olumadu,LGA071,16521,2961,Projected 2026 from 2006 census,0.4452948775566103,0.3292372958301326,0.3291081938397008,7357,5439,5437,Maltsimi,Kukrima North,Kukrima State,0.7390792268834516,0.26063084840162637,facility_nearby_mixed_adequacy
W0041,Dutkoko,LGA071,41424,6836,Projected 2026 from 2006 census,0.5630906300121711,0.5630906300121711,0.2038741740928475,23325,23325,8445,Maltsimi,Kukrima North,Kukrima State,0.3620628069915509,0.0,facility_nearby_mixed_adequacy
W0005,Oludeli,LGA061,6328,1113,Projected 2026 from 2006 census,0.3947717318041612,0.3947717318041612,0.2321642564251516,2498,2498,1469,Katmaba,Kukrima North,Kukrima State,0.5880974692998634,0.0,facility_nearby_mixed_adequacy
W0006,Maltsisa,LGA061,57154,9109,Gridded population estimate 2024,0.5642478886342636,0.3657277426841965,0.3005685953545674,32249,20903,17179,Katmaba,Kukrima North,Kukrima State,0.5326889145869559,0.3518314378288168,facility_nearby_mixed_adequacy
W0007,Enunasa,LGA061,27475,4581,Projected 2026 from 2006 census,0.5938874664643975,0.4463331603812607,0.3368349793746124,16317,12263,9255,Katmaba,Kukrima North,Kukrima State,0.5671697053650568,0.24845499259577727,facility_nearby_mixed_adequacy
W0008,Shaluri,LGA104,7290,1106,Projected 2026 from 2006 census,0.0840371996353555,0.0840371996353555,0.0028027364772109,613,613,20,Uzoluni,Kukrima North,Kukrima State,0.03335114079684009,0.0,facility_nearby_confirmed_inadequate
W0025,Dutrimi,LGA104,21898,3311,Projected 2026 from 2006 census,0.1823514481349996,0.1823514481349996,0.0,3993,3993,0,Uzoluni,Kukrima North,Kukrima State,0.0,0.0,facility_nearby_confirmed_inadequate
W0031,Loklude,LGA104,11375,1996,Projected 2026 from 2006 census,0.4572061460596182,0.4572061460596182,0.2430797443191119,5201,5201,2765,Uzoluni,Kukrima North,Kukrima State,0.5316633348306194,0.0,facility_nearby_mixed_adequacy
